Transaction ID,Date,Time,Store ID,Product ID,Quantity Sold,Price per Unit,Total Sales,Discount,Payment Method,Customer ID,Net Sales,Unit Price,Total Discount,Average Discount %,High Value Transaction
T005514,2021-07-17,01:20 PM,S001,P00146,1,73431.21,73431.21,9596.55,Cash,C0044,63834.66,73431.21,9596.55,13.068761906551721,Normal
T00858,2021-12-21,01:40 PM,S003,P00146,3,56558.41,169675.23,12869.42,Credit Card,C00372,156805.81,56558.41,38608.26,22.754211089031674,High
T007851,2021-03-17,05:13 PM,S006,P00129,1,67142.3,67142.3,13854.55,Credit Card,C00656,53287.75,67142.3,13854.55,20.63460739355071,Normal
T00331,2022-07-30,07:02 PM,S007,P0062,2,71660.67,143321.34,25242.0,Debit Card,C00340,118079.34,71660.67,50484.0,35.22434272523547,High
T004850,2023-09-16,07:23 PM,S004,P00186,3,48376.7,145130.1,2298.99,Cash,C00178,142831.11000000002,48376.700000000004,6896.969999999999,4.752267103791701,High
T00825,2021-10-22,06:50 PM,S003,P00288,2,91164.42,182328.84,3252.04,Mobile Payment,C00153,179076.8,91164.42,6504.08,3.5672250204630274,High
T005723,2023-11-23,03:40 PM,S002,P00129,1,97050.28,97050.28,11987.77,Cash,C00232,85062.51,97050.28,11987.77,12.352123043849025,Normal
T002631,2024-04-03,05:28 PM,S002,P00269,4,50645.81,202583.24,18502.4,Debit Card,C00246,184080.84,50645.81,74009.6,36.532933326567395,High
T006210,2020-09-26,03:07 PM,S005,P00136,1,80227.06,80227.06,4323.27,Debit Card,C00658,75903.79,80227.06,4323.27,5.388792758951905,Normal
T003617,2023-03-28,04:42 PM,S004,P00322,4,85824.7,343298.8,47444.74,Debit Card,C00564,295854.06,85824.7,189778.96,55.280985543788674,High
T006279,2023-05-22,06:09 PM,S005,P00196,1,91601.29,91601.29,17359.17,Mobile Payment,C00348,74242.12,91601.29,17359.17,18.950792068539645,Normal
T002025,2021-01-11,03:30 PM,S001,P00172,5,7822.98,39114.9,5561.58,Cash,C00198,33553.32,7822.9800000000005,27807.9,71.0928571976408,Normal
T005345,2024-05-02,12:24 PM,S002,P0069,5,49704.43,248522.15,49757.54,Credit Card,C00511,198764.61,49704.43,248787.7,100.10685164280126,High
T005013,2020-01-27,09:35 PM,S001,P00102,1,17424.75,17424.75,2944.58,Mobile Payment,C00659,14480.17,17424.75,2944.58,16.898836425199786,Normal
T004940,2020-06-25,07:47 PM,S008,P00233,3,88889.19,266667.57,4341.25,Debit Card,C00333,262326.32,88889.19,13023.75,4.883889705823622,High
T005456,2022-09-15,01:10 PM,S002,P00236,4,38899.13,155596.52,13006.76,Mobile Payment,C00654,142589.75999999998,38899.13,52027.04,33.43714885140105,High
T006867,2023-04-17,12:17 PM,S006,P00275,4,34059.49,136237.96,35188.73,Cash,C00248,101049.22999999998,34059.49,140754.92,103.31549298007694,High
T006971,2020-12-03,09:46 PM,S008,P00121,5,95593.47,477967.35,131590.42,Mobile Payment,C00296,346376.92999999993,95593.47,657952.1000000001,137.65628551824722,High
T00729,2021-10-16,05:59 PM,S008,P00171,1,56235.17,56235.17,6098.06,Mobile Payment,C00435,50137.11,56235.17,6098.06,10.843854477544927,Normal
T006019,2021-01-02,05:05 PM,S008,P00161,3,52627.37,157882.11,29738.71,Debit Card,C00164,128143.4,52627.369999999995,89216.13,56.508067950193976,High
T008465,2020-03-16,05:01 PM,S005,P00270,3,86281.52,258844.56,16136.46,Cash,C00627,242708.1,86281.52,48409.38,18.702104459912157,High
T006145,2022-06-18,04:43 PM,S003,P00202,1,3664.3,3664.3,564.74,Credit Card,C00454,3099.5600000000004,3664.3,564.74,15.411947711704826,Normal
T0075,2022-09-07,10:55 AM,S002,P00134,3,50736.17,152208.51,30172.11,Mobile Payment,C00420,122036.40000000001,50736.170000000006,90516.33,59.468639434155165,High
T00909,2024-05-19,06:12 PM,S004,P008,4,91196.67,364786.68,73282.3,Credit Card,C00507,291504.38,91196.67,293129.2,80.3563331862885,High
T001824,2022-06-29,03:25 PM,S002,P00247,5,3007.3,15036.5,3659.24,Cash,C00526,11377.26,3007.3,18296.199999999997,121.67858211684899,Normal
T004198,2022-05-29,02:20 PM,S001,P0029,2,64651.82,129303.64,35974.53,Debit Card,C00111,93329.11,64651.82,71949.06,55.64349155213264,High
T004248,2022-02-28,01:59 PM,S001,P00193,1,41882.29,41882.29,6940.91,Credit Card,C00371,34941.380000000005,41882.29,6940.91,16.572422377095425,Normal
T002538,2022-05-05,01:31 PM,S002,P00216,3,1785.83,5357.49,412.22,Cash,C00660,4945.2699999999995,1785.83,1236.66,23.082824232989704,Normal
T008307,2023-06-23,03:15 PM,S005,P00203,1,33289.13,33289.13,7476.76,Mobile Payment,C00606,25812.369999999995,33289.13,7476.76,22.460064291256636,Normal
T001729,2022-12-28,09:10 PM,S004,P00325,2,27008.58,54017.16,8950.96,Mobile Payment,C00437,45066.200000000004,27008.58,17901.92,33.14117217565677,Normal
T001688,2024-04-23,11:29 AM,S001,P0088,5,18288.15,91440.75,20169.64,Debit Card,C00279,71271.11,18288.15,100848.2,110.28802804001496,Normal
T003890,2021-07-19,09:14 PM,S002,P0061,1,56786.32,56786.32,72.44,Debit Card,C00117,56713.88,56786.32,72.44,0.12756593489417872,Normal
T008360,2023-09-18,09:31 PM,S003,P0019,4,27141.05,108564.2,25285.65,Debit Card,C00322,83278.54999999999,27141.05,101142.6,93.16386064651148,High
T00144,2022-03-07,10:57 AM,S006,P002,2,95761.64,191523.28,15647.45,Credit Card,C00353,175875.83,95761.64,31294.9,16.339997936543277,High
T008976,2021-09-05,12:12 PM,S007,P00170,3,89094.48,267283.44,19854.86,Cash,C00543,247428.58000000002,89094.48,59564.58,22.28517412077606,High
T006482,2021-12-27,02:56 PM,S008,P00283,3,22085.5,66256.5,2742.57,Debit Card,C00388,63513.93,22085.5,8227.710000000001,12.417966539132012,Normal
T003272,2020-01-13,02:23 PM,S004,P00361,3,57055.63,171166.89,29118.24,Cash,C00565,142048.65000000002,57055.630000000005,87354.72,51.034823382022076,High
T002122,2021-02-08,03:36 PM,S001,P0085,3,31894.33,95682.99,17519.51,Debit Card,C00388,78163.48000000001,31894.33,52558.53,54.929857438610554,Normal
T007750,2022-10-02,05:17 PM,S005,P00123,1,34048.37,34048.37,9778.81,Mobile Payment,C0062,24269.560000000005,34048.37,9778.81,28.720346965214482,Normal
T004212,2020-02-04,12:37 PM,S005,P00189,4,8925.59,35702.36,1862.49,Mobile Payment,C00305,33839.87,8925.59,7449.96,20.86685586050894,Normal
T001125,2020-04-15,07:42 PM,S002,P00305,1,70291.54,70291.54,18962.14,Cash,C00468,51329.399999999994,70291.54,18962.14,26.976418499295935,Normal
T002971,2024-07-09,03:22 PM,S007,P00210,4,47831.96,191327.84,27522.63,Mobile Payment,C00531,163805.21,47831.96,110090.52,57.54025132986397,High
T00324,2023-12-21,02:36 PM,S006,P00287,3,1101.34,3304.02,369.24,Mobile Payment,C0026,2934.7799999999997,1101.34,1107.72,33.52643143806635,Normal
T005706,2021-09-28,09:02 PM,S008,P00299,1,29752.92,29752.92,5163.47,Debit Card,C0085,24589.449999999997,29752.92,5163.47,17.354498314787257,Normal
