Date,Year,Month,Day,Day of Week,Quarter,Week of Year,Is Weekend
2020-01-01,2020,1,1,Wednesday,1,1,False
2020-01-02,2020,1,2,Thursday,1,1,False
2020-01-03,2020,1,3,Friday,1,1,False
2020-01-04,2020,1,4,Saturday,1,1,True
2020-01-05,2020,1,5,Sunday,1,1,True
2020-01-06,2020,1,6,Monday,1,2,False
2020-01-07,2020,1,7,Tuesday,1,2,False
2020-01-08,2020,1,8,Wednesday,1,2,False
2020-01-09,2020,1,9,Thursday,1,2,False
2020-01-10,2020,1,10,Friday,1,2,False
2020-01-11,2020,1,11,Saturday,1,2,True
2020-01-12,2020,1,12,Sunday,1,2,True
2020-01-13,2020,1,13,Monday,1,3,False
2020-01-14,2020,1,14,Tuesday,1,3,False
2020-01-15,2020,1,15,Wednesday,1,3,False
2020-01-16,2020,1,16,Thursday,1,3,False
2020-01-17,2020,1,17,Friday,1,3,False
2020-01-18,2020,1,18,Saturday,1,3,True
2020-01-19,2020,1,19,Sunday,1,3,True
2020-01-20,2020,1,20,Monday,1,4,False
2020-01-21,2020,1,21,Tuesday,1,4,False
2020-01-22,2020,1,22,Wednesday,1,4,False
2020-01-23,2020,1,23,Thursday,1,4,False
2020-01-24,2020,1,24,Friday,1,4,False
2020-01-25,2020,1,25,Saturday,1,4,True
2020-01-26,2020,1,26,Sunday,1,4,True
2020-01-27,2020,1,27,Monday,1,5,False
2020-01-28,2020,1,28,Tuesday,1,5,False
2020-01-29,2020,1,29,Wednesday,1,5,False
2020-01-30,2020,1,30,Thursday,1,5,False
2020-01-31,2020,1,31,Friday,1,5,False
2020-02-01,2020,2,1,Saturday,1,5,True
2020-02-02,2020,2,2,Sunday,1,5,True
2020-02-03,2020,2,3,Monday,1,6,False
2020-02-04,2020,2,4,Tuesday,1,6,False
2020-02-05,2020,2,5,Wednesday,1,6,False
2020-02-06,2020,2,6,Thursday,1,6,False
2020-02-07,2020,2,7,Friday,1,6,False
2020-02-08,2020,2,8,Saturday,1,6,True
2020-02-09,2020,2,9,Sunday,1,6,True
2020-02-10,2020,2,10,Monday,1,7,False
2020-02-11,2020,2,11,Tuesday,1,7,False
2020-02-12,2020,2,12,Wednesday,1,7,False
2020-02-13,2020,2,13,Thursday,1,7,False
2020-02-14,2020,2,14,Friday,1,7,False
2020-02-15,2020,2,15,Saturday,1,7,True
2020-02-16,2020,2,16,Sunday,1,7,True
2020-02-17,2020,2,17,Monday,1,8,False
2020-02-18,2020,2,18,Tuesday,1,8,False
2020-02-19,2020,2,19,Wednesday,1,8,False
2020-02-20,2020,2,20,Thursday,1,8,False
2020-02-21,2020,2,21,Friday,1,8,False
2020-02-22,2020,2,22,Saturday,1,8,True
2020-02-23,2020,2,23,Sunday,1,8,True
2020-02-24,2020,2,24,Monday,1,9,False
2020-02-25,2020,2,25,Tuesday,1,9,False
2020-02-26,2020,2,26,Wednesday,1,9,False
2020-02-27,2020,2,27,Thursday,1,9,False
2020-02-28,2020,2,28,Friday,1,9,False
2020-02-29,2020,2,29,Saturday,1,9,True
2020-03-01,2020,3,1,Sunday,1,9,True
2020-03-02,2020,3,2,Monday,1,10,False
2020-03-03,2020,3,3,Tuesday,1,10,False
2020-03-04,2020,3,4,Wednesday,1,10,False
2020-03-05,2020,3,5,Thursday,1,10,False
2020-03-06,2020,3,6,Friday,1,10,False
2020-03-07,2020,3,7,Saturday,1,10,True
2020-03-08,2020,3,8,Sunday,1,10,True
2020-03-09,2020,3,9,Monday,1,11,False
2020-03-10,2020,3,10,Tuesday,1,11,False
2020-03-11,2020,3,11,Wednesday,1,11,False
2020-03-12,2020,3,12,Thursday,1,11,False
2020-03-13,2020,3,13,Friday,1,11,False
2020-03-14,2020,3,14,Saturday,1,11,True
2020-03-15,2020,3,15,Sunday,1,11,True
2020-03-16,2020,3,16,Monday,1,12,False
2020-03-17,2020,3,17,Tuesday,1,12,False
2020-03-18,2020,3,18,Wednesday,1,12,False
2020-03-19,2020,3,19,Thursday,1,12,False
2020-03-20,2020,3,20,Friday,1,12,False
2020-03-21,2020,3,21,Saturday,1,12,True
2020-03-22,2020,3,22,Sunday,1,12,True
2020-03-23,2020,3,23,Monday,1,13,False
2020-03-24,2020,3,24,Tuesday,1,13,False
2020-03-25,2020,3,25,Wednesday,1,13,False
2020-03-26,2020,3,26,Thursday,1,13,False
2020-03-27,2020,3,27,Friday,1,13,False
2020-03-28,2020,3,28,Saturday,1,13,True
2020-03-29,2020,3,29,Sunday,1,13,True
2020-03-30,2020,3,30,Monday,1,14,False
2020-03-31,2020,3,31,Tuesday,1,14,False
2020-04-01,2020,4,1,Wednesday,2,14,False
2020-04-02,2020,4,2,Thursday,2,14,False
2020-04-03,2020,4,3,Friday,2,14,False
2020-04-04,2020,4,4,Saturday,2,14,True
2020-04-05,2020,4,5,Sunday,2,14,True
2020-04-06,2020,4,6,Monday,2,15,False
2020-04-07,2020,4,7,Tuesday,2,15,False
2020-04-08,2020,4,8,Wednesday,2,15,False
2020-04-09,2020,4,9,Thursday,2,15,False
2020-04-10,2020,4,10,Friday,2,15,False
2020-04-11,2020,4,11,Saturday,2,15,True
2020-04-12,2020,4,12,Sunday,2,15,True
2020-04-13,2020,4,13,Monday,2,16,False
