Transaction ID,Date,Time,Store ID,Product ID,Quantity Sold,Price per Unit,Total Sales,Discount,Payment Method,Customer ID
T005514,2021-07-17,01:20 PM,S001,P00146,1,73431.21,73431.21,9596.55,Cash,C0044
T00858,2021-12-21,01:40 PM,S003,P00146,3,56558.41,169675.23,12869.42,Credit Card,C00372
T007851,2021-03-17,05:13 PM,S006,P00129,1,67142.3,67142.3,13854.55,Credit Card,C00656
T00331,2022-07-30,07:02 PM,S007,P0062,2,71660.67,143321.34,25242.0,Debit Card,C00340
T004850,2023-09-16,07:23 PM,S004,P00186,3,48376.7,145130.1,2298.99,Cash,C00178
T00825,2021-10-22,06:50 PM,S003,P00288,2,91164.42,182328.84,3252.04,Mobile Payment,C00153
T005723,2023-11-23,03:40 PM,S002,P00129,1,97050.28,97050.28,11987.77,Cash,C00232
T002631,2024-04-03,05:28 PM,S002,P00269,4,50645.81,202583.24,18502.4,Debit Card,C00246
T006210,2020-09-26,03:07 PM,S005,P00136,1,80227.06,80227.06,4323.27,Debit Card,C00658
T003617,2023-03-28,04:42 PM,S004,P00322,4,85824.7,343298.8,47444.74,Debit Card,C00564
T006279,2023-05-22,06:09 PM,S005,P00196,1,91601.29,91601.29,17359.17,Mobile Payment,C00348
T002025,2021-01-11,03:30 PM,S001,P00172,5,7822.98,39114.9,5561.58,Cash,C00198
T005345,2024-05-02,12:24 PM,S002,P0069,5,49704.43,248522.15,49757.54,Credit Card,C00511
T005013,2020-01-27,09:35 PM,S001,P00102,1,17424.75,17424.75,2944.58,Mobile Payment,C00659
T004940,2020-06-25,07:47 PM,S008,P00233,3,88889.19,266667.57,4341.25,Debit Card,C00333
T005456,2022-09-15,01:10 PM,S002,P00236,4,38899.13,155596.52,13006.76,Mobile Payment,C00654
T006867,2023-04-17,12:17 PM,S006,P00275,4,34059.49,136237.96,35188.73,Cash,C00248
T006971,2020-12-03,09:46 PM,S008,P00121,5,95593.47,477967.35,131590.42,Mobile Payment,C00296
T00729,2021-10-16,05:59 PM,S008,P00171,1,56235.17,56235.17,6098.06,Mobile Payment,C00435
T006019,2021-01-02,05:05 PM,S008,P00161,3,52627.37,157882.11,29738.71,Debit Card,C00164
T008465,2020-03-16,05:01 PM,S005,P00270,3,86281.52,258844.56,16136.46,Cash,C00627
T006145,2022-06-18,04:43 PM,S003,P00202,1,3664.3,3664.3,564.74,Credit Card,C00454
T0075,2022-09-07,10:55 AM,S002,P00134,3,50736.17,152208.51,30172.11,Mobile Payment,C00420
T00909,2024-05-19,06:12 PM,S004,P008,4,91196.67,364786.68,73282.3,Credit Card,C00507
T001824,2022-06-29,03:25 PM,S002,P00247,5,3007.3,15036.5,3659.24,Cash,C00526
T004198,2022-05-29,02:20 PM,S001,P0029,2,64651.82,129303.64,35974.53,Debit Card,C00111
T004248,2022-02-28,01:59 PM,S001,P00193,1,41882.29,41882.29,6940.91,Credit Card,C00371
T002538,2022-05-05,01:31 PM,S002,P00216,3,1785.83,5357.49,412.22,Cash,C00660
T008307,2023-06-23,03:15 PM,S005,P00203,1,33289.13,33289.13,7476.76,Mobile Payment,C00606
T001729,2022-12-28,09:10 PM,S004,P00325,2,27008.58,54017.16,8950.96,Mobile Payment,C00437
T001688,2024-04-23,11:29 AM,S001,P0088,5,18288.15,91440.75,20169.64,Debit Card,C00279
T003890,2021-07-19,09:14 PM,S002,P0061,1,56786.32,56786.32,72.44,Debit Card,C00117
T008360,2023-09-18,09:31 PM,S003,P0019,4,27141.05,108564.2,25285.65,Debit Card,C00322
T00144,2022-03-07,10:57 AM,S006,P002,2,95761.64,191523.28,15647.45,Credit Card,C00353
T008976,2021-09-05,12:12 PM,S007,P00170,3,89094.48,267283.44,19854.86,Cash,C00543
T006482,2021-12-27,02:56 PM,S008,P00283,3,22085.5,66256.5,2742.57,Debit Card,C00388
T003272,2020-01-13,02:23 PM,S004,P00361,3,57055.63,171166.89,29118.24,Cash,C00565
T002122,2021-02-08,03:36 PM,S001,P0085,3,31894.33,95682.99,17519.51,Debit Card,C00388
T007750,2022-10-02,05:17 PM,S005,P00123,1,34048.37,34048.37,9778.81,Mobile Payment,C0062
T004212,2020-02-04,12:37 PM,S005,P00189,4,8925.59,35702.36,1862.49,Mobile Payment,C00305
T001125,2020-04-15,07:42 PM,S002,P00305,1,70291.54,70291.54,18962.14,Cash,C00468
T002971,2024-07-09,03:22 PM,S007,P00210,4,47831.96,191327.84,27522.63,Mobile Payment,C00531
T00324,2023-12-21,02:36 PM,S006,P00287,3,1101.34,3304.02,369.24,Mobile Payment,C0026
T005706,2021-09-28,09:02 PM,S008,P00299,1,29752.92,29752.92,5163.47,Debit Card,C0085
T008291,2024-05-15,12:20 PM,S007,P00254,3,26382.62,79147.86,3563.66,Cash,C0089
T002386,2023-10-02,06:07 PM,S002,P00203,5,90110.9,450554.5,134213.29,Debit Card,C0019
T006263,2021-11-17,04:07 PM,S006,P00132,5,51252.85,256264.25,29815.78,Cash,C00543
T008666,2022-06-15,10:35 AM,S006,P00253,2,81052.35,162104.7,26270.61,Debit Card,C00382
T002057,2023-08-07,06:30 PM,S006,P00117,1,54456.36,54456.36,8380.27,Credit Card,C0067
T004053,2020-04-10,09:18 PM,S001,P00142,2,31266.66,62533.32,13309.54,Debit Card,C00394
T008997,2020-07-18,06:15 PM,S008,P0091,5,72907.51,364537.55,55057.85,Debit Card,C00535
T006050,2020-12-11,06:16 PM,S007,P00274,3,90346.17,271038.51,24596.07,Credit Card,C00338
T001211,2022-08-12,05:57 PM,S004,P0090,1,61348.65,61348.65,5455.3,Mobile Payment,C00104
T001556,2022-06-19,04:34 PM,S007,P00181,3,90995.18,272985.54,21461.63,Cash,C00478
T001488,2024-04-26,03:01 PM,S007,P0027,4,67874.33,271497.32,50063.1,Credit Card,C00602
T005358,2024-05-29,06:50 PM,S005,P00341,4,59204.85,236819.4,22113.93,Mobile Payment,C00334
T006465,2022-04-14,04:21 PM,S004,P00201,4,65524.99,262099.96,51732.81,Cash,C00609
T008106,2022-09-11,06:09 PM,S005,P00338,1,68058.81,68058.81,14128.89,Credit Card,C00459
T005759,2021-03-05,01:07 PM,S004,P00302,4,31651.6,126606.4,11322.07,Cash,C00639
T006103,2024-06-14,07:47 PM,S004,P0038,5,60353.48,301767.4,12084.22,Credit Card,C00213
T004893,2022-05-08,12:41 PM,S004,P00161,1,34384.9,34384.9,689.75,Mobile Payment,C00557
T005422,2022-09-11,09:32 PM,S003,P00143,2,19135.32,38270.64,2956.96,Mobile Payment,C00630
T007228,2022-12-20,07:46 PM,S007,P00372,1,39896.37,39896.37,11119.19,Mobile Payment,C00342
T002450,2021-11-01,08:06 PM,S008,P00160,5,7343.85,36719.25,9020.38,Credit Card,C00645
T0057,2023-08-01,04:09 PM,S008,P00133,3,29109.44,87328.32,23201.73,Mobile Payment,C00676
T008470,2021-12-07,01:47 PM,S005,P00171,3,55514.48,166543.44,49124.34,Cash,C00141
T006596,2021-01-11,10:13 AM,S005,P00342,1,69877.55,69877.55,3185.39,Debit Card,C0068
T00312,2020-02-03,12:43 PM,S005,P00253,1,8649.13,8649.13,263.28,Debit Card,C00103
T007792,2023-10-05,01:19 PM,S002,P00349,4,50731.24,202924.96,22084.05,Debit Card,C0089
T007820,2023-02-09,07:12 PM,S008,P0081,5,57750.29,288751.45,1829.27,Mobile Payment,C00271
T004634,2020-06-06,11:06 AM,S003,P00245,5,25127.09,125635.45,23771.24,Credit Card,C00280
T007580,2022-09-05,12:17 PM,S008,P00198,5,25996.55,129982.75,8872.55,Credit Card,C00303
T007201,2020-02-21,11:12 AM,S003,P00368,3,3115.28,9345.84,2457.63,Debit Card,C00217
T003452,2022-08-17,12:45 PM,S003,P00236,4,25868.6,103474.4,29663.6,Mobile Payment,C00545
T007680,2020-08-06,11:22 AM,S007,P00159,3,8263.2,24789.6,4512.4,Cash,C00235
T007171,2024-06-12,01:47 PM,S006,P00158,5,37740.96,188704.8,43469.87,Mobile Payment,C0059
T006809,2021-02-23,11:36 AM,S006,P00332,5,75680.95,378404.75,78666.95,Cash,C00364
T004247,2023-04-08,01:10 PM,S005,P00212,2,80153.1,160306.2,19382.13,Mobile Payment,C0020
T00664,2022-01-14,08:31 PM,S003,P0051,2,33471.34,66942.68,14559.63,Mobile Payment,C0049
T005687,2022-09-05,08:21 PM,S004,P00239,2,54506.54,109013.08,14715.58,Debit Card,C00141
T004015,2022-02-07,03:01 PM,S003,P00126,3,19008.49,57025.47,13540.62,Credit Card,C00603
T007589,2024-01-04,02:21 PM,S008,P00285,3,53685.88,161057.64,470.92,Credit Card,C0083
T004845,2021-06-07,07:16 PM,S002,P00108,4,20806.82,83227.28,12203.25,Credit Card,C00665
T006703,2024-06-08,05:22 PM,S006,P00300,3,32821.8,98465.4,8832.5,Cash,C00583
T002037,2023-06-28,08:06 PM,S003,P00327,2,13905.81,27811.62,3170.93,Credit Card,C00597
T003365,2020-03-07,07:13 PM,S002,P00281,2,3554.25,7108.5,1476.04,Cash,C00481
T001350,2022-10-14,03:23 PM,S001,P00368,3,96086.88,288260.64,54529.66,Credit Card,C00311
T002780,2021-02-11,11:43 AM,S006,P00107,2,19688.93,39377.86,8985.66,Mobile Payment,C0072
T002253,2023-05-21,09:48 PM,S003,P00353,1,37082.98,37082.98,9981.64,Cash,C00107
T007486,2023-12-21,01:59 PM,S007,P0079,1,93856.01,93856.01,26890.17,Debit Card,C00362
T00241,2023-07-13,09:26 PM,S006,P00133,2,22826.2,45652.4,443.76,Debit Card,C00636
T001549,2022-01-07,08:30 PM,S007,P00367,5,90007.93,450039.65,120713.65,Debit Card,C00136
T002571,2021-03-03,08:39 PM,S006,P00246,1,18314.02,18314.02,3633.31,Cash,C00289
